BlockNumber,CallModule,CallFunction
195795,ImOnline,AllGood
195795,Staking,EraPaid
195795,Balances,Deposit
195795,Treasury,Deposit
195795,Session,NewSession
195795,Treasury,UpdatedInactive
195795,Grandpa,NewAuthorities
195799,Balances,Withdraw
195799,Vector,HeadUpdated
195799,Balances,Deposit
195799,Treasury,Deposit
195799,Balances,Deposit
195799,TransactionPayment,TransactionFeePaid
195800,Treasury,UpdatedInactive
195821,Balances,Withdraw
195821,Balances,Transfer
195821,Utility,ItemCompleted
195821,Utility,BatchCompleted
195821,Balances,Deposit
195821,Treasury,Deposit
195821,Balances,Deposit
195821,TransactionPayment,TransactionFeePaid
195822,Treasury,UpdatedInactive
195829,Balances,Withdraw
195829,Vector,HeadUpdated
195829,Balances,Deposit
195829,Treasury,Deposit
195829,Balances,Deposit
195829,TransactionPayment,TransactionFeePaid
195830,Treasury,UpdatedInactive
195844,Balances,Withdraw
195844,Vector,HeadUpdated
195844,Balances,Deposit
195844,Treasury,Deposit
195844,Balances,Deposit
195844,TransactionPayment,TransactionFeePaid
195845,Treasury,UpdatedInactive
195850,Balances,Withdraw
195850,DataAvailability,DataSubmitted
195850,Balances,Deposit
195850,Treasury,Deposit
195850,Balances,Deposit
195850,TransactionPayment,TransactionFeePaid
195851,Treasury,UpdatedInactive
195867,Balances,Withdraw
195867,Vector,HeadUpdated
195867,Balances,Deposit
195867,Treasury,Deposit
195867,Balances,Deposit
195867,TransactionPayment,TransactionFeePaid
195868,Treasury,UpdatedInactive
195870,ImOnline,HeartbeatReceived
195872,ImOnline,HeartbeatReceived
195876,ImOnline,HeartbeatReceived
195883,Balances,Withdraw
195883,Vector,HeadUpdated
195883,Balances,Deposit
195883,Treasury,Deposit
195883,Balances,Deposit
195883,TransactionPayment,TransactionFeePaid
195884,Treasury,UpdatedInactive
195895,Balances,Withdraw
195895,Vector,HeadUpdated
195895,Balances,Deposit
195895,Treasury,Deposit
195895,Balances,Deposit
195895,TransactionPayment,TransactionFeePaid
195896,Treasury,UpdatedInactive
195911,Balances,Withdraw
195911,Vector,HeadUpdated
195911,Balances,Deposit
195911,Treasury,Deposit
195911,Balances,Deposit
195911,TransactionPayment,TransactionFeePaid
195912,Treasury,UpdatedInactive
195929,Balances,Withdraw
195929,Balances,Transfer
195929,Utility,ItemCompleted
195929,Utility,BatchCompleted
195929,Balances,Deposit
195929,Treasury,Deposit
195929,Balances,Deposit
195929,TransactionPayment,TransactionFeePaid
195930,Treasury,UpdatedInactive
195942,Balances,Withdraw
195942,Vector,HeadUpdated
195942,Balances,Deposit
195942,Treasury,Deposit
195942,Balances,Deposit
195942,TransactionPayment,TransactionFeePaid
195943,Treasury,UpdatedInactive
195957,Balances,Withdraw
195957,Vector,HeadUpdated
195957,Balances,Deposit
195957,Treasury,Deposit
195957,Balances,Deposit
195957,TransactionPayment,TransactionFeePaid
195958,Treasury,UpdatedInactive
195972,Balances,Withdraw
195972,Vector,HeadUpdated
195972,Balances,Deposit
195972,Treasury,Deposit
195972,Balances,Deposit
195972,TransactionPayment,TransactionFeePaid
195973,Treasury,UpdatedInactive
195998,Balances,Withdraw
195998,Balances,Endowed
195998,Balances,Transfer
195998,Utility,ItemCompleted
195998,Utility,BatchCompleted
195998,Balances,Deposit
195998,Treasury,Deposit
195998,Balances,Deposit
195998,TransactionPayment,TransactionFeePaid
195999,Treasury,UpdatedInactive
196001,Balances,Withdraw
196001,Vector,HeadUpdated
196001,Balances,Deposit
196001,Treasury,Deposit
196001,Balances,Deposit
196001,TransactionPayment,TransactionFeePaid
196002,Treasury,UpdatedInactive
196016,ImOnline,HeartbeatReceived
196017,Balances,Withdraw
196017,Vector,HeadUpdated
196017,Balances,Deposit
196017,Treasury,Deposit
196017,Balances,Deposit
196017,TransactionPayment,TransactionFeePaid
196018,Treasury,UpdatedInactive
196028,ImOnline,HeartbeatReceived
196030,Balances,Withdraw
196030,DataAvailability,DataSubmitted
196030,Balances,Deposit
196030,Treasury,Deposit
196030,Balances,Deposit
196030,TransactionPayment,TransactionFeePaid
196030,Balances,Withdraw
196030,Vector,HeadUpdated
196030,Balances,Deposit
196030,Treasury,Deposit
196030,Balances,Deposit
196030,TransactionPayment,TransactionFeePaid
196031,Treasury,UpdatedInactive
196047,Balances,Withdraw
196047,Vector,HeadUpdated
196047,Balances,Deposit
196047,Treasury,Deposit
196047,Balances,Deposit
196047,TransactionPayment,TransactionFeePaid
196048,Treasury,UpdatedInactive
196070,ImOnline,HeartbeatReceived
196077,Balances,Withdraw
196077,Vector,HeadUpdated
196077,Balances,Deposit
196077,Treasury,Deposit
196077,Balances,Deposit
196077,TransactionPayment,TransactionFeePaid
196078,Treasury,UpdatedInactive
196092,ImOnline,HeartbeatReceived
196092,Balances,Withdraw
196092,Vector,HeadUpdated
196092,Balances,Deposit
196092,Treasury,Deposit
196092,Balances,Deposit
196092,TransactionPayment,TransactionFeePaid
196093,Treasury,UpdatedInactive
196101,ImOnline,HeartbeatReceived
196105,ImOnline,HeartbeatReceived
196106,Balances,Withdraw
196106,Balances,Transfer
196106,Utility,ItemCompleted
196106,Utility,BatchCompleted
196106,Balances,Deposit
196106,Treasury,Deposit
196106,Balances,Deposit
196106,TransactionPayment,TransactionFeePaid
196107,Treasury,UpdatedInactive
196107,Balances,Withdraw
196107,Vector,HeadUpdated
196107,Balances,Deposit
196107,Treasury,Deposit
196107,Balances,Deposit
196107,TransactionPayment,TransactionFeePaid
196108,Treasury,UpdatedInactive
196120,ImOnline,HeartbeatReceived
196121,Balances,Withdraw
196121,Vector,HeadUpdated
196121,Balances,Deposit
196121,Treasury,Deposit
196121,Balances,Deposit
196121,TransactionPayment,TransactionFeePaid
196122,Treasury,UpdatedInactive
196133,Balances,Withdraw
196133,Balances,Endowed
196133,Balances,Transfer
196133,Utility,ItemCompleted
196133,Balances,Transfer
196133,Utility,ItemCompleted
196133,Utility,BatchCompleted
196133,Balances,Deposit
196133,Treasury,Deposit
196133,Balances,Deposit
196133,TransactionPayment,TransactionFeePaid
196134,Treasury,UpdatedInactive
196150,ImOnline,HeartbeatReceived
196152,Balances,Withdraw
196152,Vector,HeadUpdated
196152,Balances,Deposit
196152,Treasury,Deposit
196152,Balances,Deposit
196152,TransactionPayment,TransactionFeePaid
196153,Treasury,UpdatedInactive
196167,Balances,Withdraw
196167,Vector,HeadUpdated
196167,Balances,Deposit
196167,Treasury,Deposit
196167,Balances,Deposit
196167,TransactionPayment,TransactionFeePaid
196168,Treasury,UpdatedInactive
196172,Balances,Withdraw
196172,Balances,Transfer
196172,Utility,ItemCompleted
196172,Utility,BatchCompleted
196172,Balances,Deposit
196172,Treasury,Deposit
196172,Balances,Deposit
196172,TransactionPayment,TransactionFeePaid
196173,Treasury,UpdatedInactive
196176,ImOnline,HeartbeatReceived
196182,Balances,Withdraw
196182,Vector,HeadUpdated
196182,Balances,Deposit
196182,Treasury,Deposit
196182,Balances,Deposit
196182,TransactionPayment,TransactionFeePaid
196183,Treasury,UpdatedInactive
196193,Balances,Withdraw
196193,Utility,BatchInterrupted
196193,Balances,Deposit
196193,Balances,Deposit
196193,Treasury,Deposit
196193,Balances,Deposit
196193,TransactionPayment,TransactionFeePaid
196194,Treasury,UpdatedInactive
196196,Balances,Withdraw
196196,Utility,BatchInterrupted
196196,Balances,Deposit
196196,Balances,Deposit
196196,Treasury,Deposit
196196,Balances,Deposit
196196,TransactionPayment,TransactionFeePaid
196197,Treasury,UpdatedInactive
196210,Balances,Withdraw
196210,DataAvailability,DataSubmitted
196210,Balances,Deposit
196210,Treasury,Deposit
196210,Balances,Deposit
196210,TransactionPayment,TransactionFeePaid
196211,Treasury,UpdatedInactive
196213,Balances,Withdraw
196213,Vector,HeadUpdated
196213,Balances,Deposit
196213,Treasury,Deposit
196213,Balances,Deposit
196213,TransactionPayment,TransactionFeePaid
196214,Treasury,UpdatedInactive
196225,Balances,Withdraw
196225,Vector,HeadUpdated
196225,Balances,Deposit
196225,Treasury,Deposit
196225,Balances,Deposit
196225,TransactionPayment,TransactionFeePaid
